Date,Weekday,Planned Employees,Actual Employees,Employee List
2024-10-01,Tuesday,5,0,
2024-10-02,Wednesday,6,0,
2024-10-03,Thursday,5,0,
2024-10-04,Friday,7,0,
2024-10-05,Saturday,5,0,
2024-10-06,Sunday,6,0,
2024-10-07,Monday,5,0,
2024-10-08,Tuesday,5,0,
2024-10-09,Wednesday,6,0,
2024-10-10,Thursday,5,0,
2024-10-11,Friday,5,0,
2024-10-12,Saturday,4,0,
2024-10-13,Sunday,6,0,
2024-10-14,Monday,5,0,
2024-10-15,Tuesday,5,0,
2024-10-16,Wednesday,6,0,
2024-10-17,Thursday,5,0,
2024-10-18,Friday,6,0,
2024-10-19,Saturday,5,0,
2024-10-20,Sunday,7,0,
2024-10-21,Monday,6,0,
2024-10-22,Tuesday,5,0,
2024-10-23,Wednesday,4,0,
2024-10-24,Thursday,5,0,
2024-10-25,Friday,6,0,
2024-10-26,Saturday,5,0,
2024-10-27,Sunday,6,0,
2024-10-28,Monday,5,0,
2024-10-29,Tuesday,5,0,
2024-10-30,Wednesday,4,0,
2024-10-31,Thursday,6,0,
